BRAVADO SPICE LLC,,,,,,,,,,,,,
Profit and Loss by Month,,,,,,,,,,,,,
"January 1-December 31, 2023",,,,,,,,,,,,,

,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Total
Income,,,,,,,,,,,,,
61000 Sales,,,,,,,-222.00,,,0.00,0.00,,-222.00
61200 Hot Sauce,,,,,,,,,,,,,
61210 Pineapple & Habanero Hot Sauce,"16,289.64","11,525.76","25,386.24","20,909.88","10,321.98","10,869.50","25,378.74","29,199.72","2,521.02","11,480.64","6,954.00","4,919.64","175,756.76"
61215 Garlic & Arbol Moruga Scorpion Hot Sauce,628.20,"10,753.32","8,685.56","4,563.22","1,572.80","4,789.26",919.14,"1,593.92","1,497.64","8,106.52","21,130.48","16,139.28","80,379.34"
61216 Arbol Chili & Garlic Hot Sauce,"7,315.98","9,215.28","13,922.16","11,883.84","9,152.10","3,887.76","6,648.24","15,350.16",550.02,"15,904.38","13,390.14","14,820.66","122,040.72"
61217 Manuka Honey Passion Fruit Hot Sauce,276.00,432.00,132.00,57.60,115.20,"1,094.40","4,915.20",238.80,313.20,132.00,345.60,428.40,"8,480.40"
61220 Jalapeno & Green Apple Hot Sauce,,,"1,380.00",339.60,,219.60,,,15.00,154.80,,84.00,"2,193.00"
61225 Ancho Masala Ghost-Reaper Hot Sauce,356.32,"15,909.04","11,844.64",550.96,723.16,"1,362.84","2,862.00",198.60,"3,554.08","1,861.60","2,162.84","1,254.28","42,640.36"
61230 Ghost Pepper & Blueberry Hot Sauce,"15,209.46","8,847.90","18,345.36","13,250.38","9,263.52","6,183.72","6,839.46","9,360.96","3,381.96","6,899.04","6,817.86","4,514.70","108,914.32"
61240 Crimson Hot Sauce,188.40,47.40,304.00,,"4,468.80","6,361.20",192.00,138.00,,326.40,48.00,240.00,"12,314.20"
61260 Serrano & Basil Hot Sauce,"2,141.22","4,748.22","16,201.00","4,957.10","3,210.66","4,338.28","5,868.14","3,588.48","1,083.72","2,160.06","2,202.74","3,614.52","54,114.14"
61270 Black Garlic & Carolina Reaper Hot Sauce,"7,770.24","17,007.68","21,710.90","13,844.72","15,728.72","9,296.20","15,407.18","21,881.52","4,523.68","15,982.44","22,173.16","23,823.40","189,149.84"
61280 Creamy Herb & Jalapeño Hot Sauce,"3,142.08","1,249.44","15,298.80","4,872.36","5,149.32","1,259.28","5,023.98","10,928.04","1,866.60","3,504.24",142.68,"2,005.86","54,442.68"
61290 Aka Miso Ghost-Reaper Hot Sauce,"3,727.92","17,170.28","15,078.40","3,268.16","2,754.22","2,782.36","4,005.60","10,757.92","3,903.40","7,116.24","6,937.52","2,120.44","79,622.46"
Total for 61200 Hot Sauce,"57,045.46","96,906.32","148,289.06","78,497.82","62,460.48","52,444.40","78,059.68","103,236.12","23,210.32","73,628.36","82,305.02","73,965.18","$930,048.22"
61300 Seasonings,,,,,,,,,,,,,
61310 Jalapeno & Garlic Seasoning,125.28,172.68,400.00,"2,600.00",,373.44,340.00,470.88,,"1,098.60",48.00,350.64,"5,979.52"
61320 Crimson Seasonings,,,,,62.64,,,,,,,,62.64
Total for 61300 Seasonings,125.28,172.68,400.00,"2,600.00",62.64,373.44,340.00,470.88,$0.00,"1,098.60",48.00,350.64,"$6,042.16"
61400 Mixers,,,,,,,,,,,,,
61410 Pineapple & Jalapeno & Margarita Mix,"18,228.54","12,199.38","1,374.00","3,920.58","5,993.64","5,886.00","2,916.00","10,601.94","1,512.00","3,945.54","1,350.00","1,731.54","69,659.16"
61420 Ruby Red Grapefruit Margarita Mix,"1,614.60",864.00,540.00,"3,041.10","3,168.00","1,188.00",694.00,"1,872.00",,396.00,936.00,774.00,"15,087.70"
61430 Lime & Yuzu Margarita Mix,"1,633.50","1,944.00",540.00,"3,547.74","3,348.00","1,080.00",54.00,"2,322.00",324.00,324.00,"1,620.00","1,407.54","18,144.78"
Total for 61400 Mixers,"21,476.64","15,007.38","2,454.00","10,509.42","12,509.64","8,154.00","3,664.00","14,795.94","1,836.00","4,665.54","3,906.00","3,913.08","$102,891.64"
61500 Sets,"50,380.02","30,899.04","36,388.80","2,503.50","21,268.80","48,939.72",444.00,"27,028.80",920.00,"47,854.80","21,268.80","4,837.24","292,733.52"
61600 Faire Sales,,"4,950.00","8,487.00","11,401.00","4,857.00","10,922.00","11,834.00","5,110.00","6,260.00","9,958.00","15,259.00","7,331.00","96,369.00"
63000 Events/Shows Sales,,250.00,"1,516.00",,,,805.00,878.00,,569.00,,,"4,018.00"
64000 Online Sales,"15,641.39","20,834.65","15,329.73","12,819.60","17,301.69","8,089.25","6,541.68","11,921.64","9,066.22","4,983.33","18,738.75","11,935.75","153,203.68"
65000 Amazon Seller Central Sales,,,,,,,,,,,,,
65100 Amazon US Market Sales,"13,076.30","7,317.75","17,637.50","9,108.83","18,345.87","12,337.51","12,075.14","20,033.07","8,265.50","12,904.78","5,857.60","10,525.03","147,484.88"
Total for 65000 Amazon Seller Central Sales,"13,076.30","7,317.75","17,637.50","9,108.83","18,345.87","12,337.51","12,075.14","20,033.07","8,265.50","12,904.78","5,857.60","10,525.03","$147,484.88"
