BRAVADO SPICE LLC,,,,,,,,,,,,,
Profit and Loss by Month,,,,,,,,,,,,,
"January 1-December 31, 2023",,,,,,,,,,,,,

,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Total
Total for 61000 Sales,"157,745.09","176,337.82","230,502.09","127,440.17","136,806.12","141,260.32","113,541.50","183,474.45","49,558.04","155,662.41","147,383.17","112,857.92","$1,732,569.10"
66000 Other Income,,,"5,456.02",-333.00,,,334.26,,234.89,,,,"5,692.17"
Discounts given,,,,,,,,,,,,$0.00,$0.00
Sales of Product Income,,,,,,,,,,,,-201.37,-201.37
Shipping Income,,,,,,,,,,250.00,,,250.00
Uncollectible Sales,,,,,,,,,,,,"16,409.00","16,409.00"
Total for Income,"157,745.09","176,337.82","235,958.11","127,107.17","136,806.12","141,260.32","113,875.76","183,474.45","49,792.93","155,912.41","147,383.17","129,065.55","$1,754,718.90"
Cost of Goods Sold,,,,,,,,,,,,,
71000 Cost of Sales (COS),"-10,677.09","78,744.81","-44,324.88","-5,462.69","28,170.46","8,657.48","-2,621.53","12,337.31","16,159.16","9,277.54","5,344.21","7,845.93","103,450.71"
71100 Shipping & Delivery - COS,"21,892.13","13,713.33","11,356.88","11,284.75","9,354.34","11,767.45","11,878.58","9,197.67","6,899.32","8,572.85","10,445.54","8,139.89","134,502.73"
71200 Other Costs - COS,,,,,194.60,426.74,"1,153.71","1,909.82",377.18,888.79,"1,097.51","1,273.27","7,321.62"
71300 Ingredients - COS,18.17,,,,,,,,,,,,18.17
71400 Co-Packer - COGS,"113,586.38","106,759.47","98,215.76","75,717.72","52,913.25","53,991.54","58,096.35","114,915.66","26,535.09","51,033.50","56,556.01","54,070.27","862,391.00"
71500 Materials - COS,,,,,,,,,,319.53,,,319.53
71600 Placement/Freefill - COS,,,,,,,,,,,133.78,,133.78
Inventory Shrinkage,,,,,,,$0.00,,,,,,$0.00
Marketing Allowance,109.37,"5,107.11","1,610.25",,995.94,102.82,"2,096.44",113.00,"2,081.26",580.26,,,"12,796.45"
On-Invoice Discounts,"2,123.84","2,905.63",861.91,"4,814.94",588.28,377.44,778.84,"9,220.73",187.52,409.27,115.36,643.62,"23,027.38"
Pass Thru Deduction,265.80,126.96,122.67,285.46,99.93,,697.87,112.70,11.00,195.97,355.29,158.41,"2,432.06"
QuickBooks Payments Fees,82.58,248.12,442.23,175.05,47.25,82.13,761.14,237.51,94.40,65.66,"1,693.95",59.18,"3,989.20"
Spoilage Allowance,51.14,214.78,629.25,129.38,270.85,1.63,764.92,383.55,290.22,233.62,206.29,149.96,"3,325.59"
Swell Discount,935.45,"7,009.48","3,500.29","1,749.32","7,481.21",209.43,"22,741.25","8,050.84","3,781.94","18,969.40","10,616.38","1,482.75","86,527.74"
Total for 71000 Cost of Sales (COS),"128,387.77","214,829.69","72,414.36","88,693.93","100,116.11","75,616.66","96,347.57","156,478.79","56,417.09","90,546.39","86,564.32","73,823.28","$1,240,235.96"
Cost of Goods Sold,-26.25,$0.00,$0.00,-105.60,-683.28,$0.00,$0.00,4.09,$0.00,$0.00,$0.00,-626.04,"-1,437.08"
Total for Cost of Goods Sold,"128,361.52","214,829.69","72,414.36","88,588.33","99,432.83","75,616.66","96,347.57","156,482.88","56,417.09","90,546.39","86,564.32","73,197.24","$1,238,798.88"
Gross Profit,"29,383.57","-38,491.87","163,543.75","38,518.84","37,373.29","65,643.66","17,528.19","26,991.57","-6,624.16","65,366.02","60,818.85","55,868.31","$515,920.02"
Expenses,,,,,,,,,,,,,
72000 Marketing/Advertising,740.66,"1,598.35",822.26,883.66,"7,498.15","1,962.65","3,487.11","7,404.34","-7,182.09",350.00,392.75,,"17,957.84"
72100 Freight & Delivery - Marketing,91.98,439.23,,897.95,474.40,469.33,,,,,,,"2,372.89"
72200 Social Media Marketing,331.01,2.49,70.38,17.85,114.63,,,10.38,,,,,546.74
72300 Promotional,"1,331.51","4,480.70","3,443.47","2,408.51","10,924.59","1,159.98",394.42,"1,494.93","8,029.58",853.68,"1,587.39",197.53,"36,306.29"
72400 Travel,7.57,,60.00,124.07,,,,,,,$0.00,,191.64
Gas,,,217.65,135.13,,,,25.07,,,,,377.85
Total for 72400 Travel,7.57,$0.00,277.65,259.20,$0.00,$0.00,$0.00,25.07,$0.00,$0.00,$0.00,$0.00,$569.49
72500 Events/Shows,"10,676.41","10,471.82","9,803.25","1,821.63","6,759.37","3,297.02","3,182.16","8,108.61","3,411.89","-1,495.12","5,091.47",,"61,128.51"
72600 In Store Marketing,460.58,"2,802.66",19.53,382.72,"3,234.31",434.95,329.26,,$0.00,14.54,,"6,372.00","14,050.55"
72601 Marketing Scanbacks,,72.29,45.64,25.98,30.37,4.19,,,,,,3.89,182.36
Total for 72600 In Store Marketing,460.58,"2,874.95",65.17,408.70,"3,264.68",439.14,329.26,$0.00,$0.00,14.54,$0.00,"6,375.89","$14,232.91"
72700 Website/Design,22.93,20.80,9.99,81.87,9.99,9.99,,"4,000.00",,,,,"4,155.57"
Slotting Fees,,,,,,,,"2,700.00",,,"30,280.00","5,130.00","38,110.00"
Total for 72000 Marketing/Advertising,"13,662.65","19,888.34","14,492.17","6,779.37","29,045.81","7,338.11","7,392.95","23,743.33","4,259.38",-276.90,"37,351.61","11,703.42","$175,380.24"
73000 Overhead Expenses (G&A),,,,,,,"1,039.59",,,,-68.08,,971.51
73100 Rent or Lease,"18,777.52","9,269.48","9,269.48","9,269.48","9,554.00","9,440.20","9,440.20","9,440.20","9,440.20","9,440.20","9,440.20","10,026.32","122,807.48"
73200 Office Expenses,"6,557.23",619.59,"1,128.61",594.18,"1,189.04",609.35,119.53,441.80,224.68,"1,532.96",980.18,564.82,"14,561.97"
73210 Shipping Supplies,,,,,103.92,45.31,,460.61,50.48,,,-30.29,630.03
73220 Food Expense,758.31,818.18,"1,664.25","1,449.14","1,123.68","1,454.86",114.73,21.00,211.90,265.44,51.42,29.10,"7,962.01"
Total for 73200 Office Expenses,"7,315.54","1,437.77","2,792.86","2,043.32","2,416.64","2,109.52",234.26,923.41,487.06,"1,798.40","1,031.60",563.63,"$23,154.01"
73300 Utilities,854.40,"2,445.06",693.02,"1,697.53",252.76,"1,696.67",252.76,"1,687.09",249.41,"3,400.72",252.76,"1,507.63","14,989.81"
Electricity,995.44,720.68,527.04,688.47,551.79,748.37,"1,008.78","1,054.16","1,102.17",,,,"7,396.90"
Total for 73300 Utilities,"1,849.84","3,165.74","1,220.06","2,386.00",804.55,"2,445.04","1,261.54","2,741.25","1,351.58","3,400.72",252.76,"1,507.63","$22,386.71"
73400 Financial Fees,,,,,,,,,,,,,
73410 Bank Fees,"1,301.00","3,261.00","1,220.13","2,300.40","2,177.96","2,107.40","2,110.42","1,192.63",308.55,95.00,,721.99,"16,796.48"
73420 Credit Card Fees,7.56,,22.08,,,,,,,44.05,50.24,4.19,128.12
73430 PayPal Fees,,,,,,,15.00,,204.67,113.96,482.74,86.58,902.95
73450 Interest Expense,"6,482.08","5,947.13","4,551.49","6,019.93","6,595.40","10,606.98","5,391.97","5,602.01","4,058.06","5,025.07","6,434.67","-2,378.47","64,336.32"
Total for 73400 Financial Fees,"7,790.64","9,208.13","5,793.70","8,320.33","8,773.36","12,714.38","7,517.39","6,794.64","4,571.28","5,278.08","6,967.65","-1,565.71","$82,163.87"
73500 Dues & Subscriptions,"3,186.71","2,368.25","7,393.61","3,098.44","3,898.21","3,822.67","6,527.06","8,370.78","2,424.40","3,464.80","5,065.27","1,624.92","51,245.12"
73600 Insurance,789.23,626.56,788.77,425.70,741.97,771.32,771.32,463.21,471.03,411.94,363.56,374.72,"6,999.33"
73620 Insurance - Liability,"3,266.27","1,730.27",920.27,920.27,920.27,"1,096.27",920.27,,983.60,982.54,,,"11,740.03"
73640 Insurance - Health,"1,278.02",956.40,956.40,956.40,"1,230.52","1,230.52","1,230.52","1,230.52","1,230.52",,,"4,817.36","15,117.18"
Total for 73600 Insurance,"5,333.52","3,313.23","2,665.44","2,302.37","2,892.76","3,098.11","2,922.11","1,693.73","2,685.15","1,394.48",363.56,"5,192.08","$33,856.54"
73700 Professional Fees,"3,839.99","4,237.34","3,975.00","1,300.00","4,414.34","3,850.00","1,300.00","4,093.65","4,143.65","2,193.65","1,593.65","9,093.65","44,034.92"
73800 Taxes & Licenses,849.15,,,,"7,574.03",,,,149.75,,,,"8,572.93"
73900 1099 Non-Employee Compensation,"12,284.97","12,306.35","5,728.35","5,889.78","2,042.00","1,650.00","1,394.58","2,528.75","5,107.20","4,939.38","6,241.91","5,138.01","65,251.28"
73910 Payroll Expenses,,,,,,,,,,,,,
73901 Payroll Taxes,"2,937.88","2,421.34","2,348.06","2,324.93","2,302.31","2,298.09","2,098.61","1,545.07","1,540.60","1,438.88","1,363.15","1,669.87","24,288.79"
73902 Salaries & Wages,"39,078.95","36,869.47","37,746.69","37,787.06","37,787.04","37,787.09","35,279.33","27,958.21","24,774.36","32,684.75","24,892.17","22,266.99","394,912.11"
Total for 73910 Payroll Expenses,"42,016.83","39,290.81","40,094.75","40,111.99","40,089.35","40,085.18","37,377.94","29,503.28","26,314.96","34,123.63","26,255.32","23,936.86","$419,200.90"
Total for 73000 Overhead Expenses (G&A),"103,244.71","84,597.10","78,933.25","74,721.71","82,459.24","79,215.10","69,014.67","66,089.69","56,675.23","66,033.34","57,143.84","55,517.39","$873,645.27"
74000 Bad Debts,,-143.76,,,,,476.64,,,,,,332.88
75000 Travel,"3,607.08","1,014.82","5,391.10","4,185.23","6,475.60","6,321.53","1,967.54","2,620.35","4,785.49","1,513.76",571.39,191.98,"38,645.87"
75500 Reimbursements,957.86,285.40,23.98,185.90,,731.57,30.38,462.25,301.44,649.82,,442.42,"4,071.02"
76000 Repair & Maintenance,152.78,152.06,705.60,"1,805.48",380.26,28.34,$0.00,"1,064.48",53.60,533.99,$0.00,204.43,"5,081.02"
Melio Credit card fee,31.50,,60.00,,30.00,4.50,30.00,55.65,30.00,20.64,30.00,31.50,323.79
Remittance Discrepancy,19.98,-28.68,3.90,$0.00,-264.50,129.44,,,,,-349.58,,-489.44
Total for Expenses,"121,676.56","105,765.28","99,610.00","87,677.69","118,126.41","93,768.59","78,912.18","94,035.75","66,105.14","68,474.65","94,747.26","68,091.14","$1,096,990.65"
Net Operating Income,"-92,292.99","-144,257.15","63,933.75","-49,158.85","-80,753.12","-28,124.93","-61,383.99","-67,044.18","-72,729.30","-3,108.63","-33,928.41","-12,222.83","-$581,070.63"
Other Income,,,,,,,,,,,,,
80000 Interest Earned,0.01,0.01,0.01,0.01,0.01,0.01,,,,,0.02,,0.08
Total for Other Income,0.01,0.01,0.01,0.01,0.01,0.01,$0.00,$0.00,$0.00,$0.00,0.02,$0.00,$0.08
Other Expenses,,,,,,,,,,,,,
Gains/Loss on Asset Sale/Disposal,,,,,,,,,"-16,500.00",,,,"-16,500.00"
Reconciliation Discrepancies,,,,,,,,,,,83.25,,83.25
Total for Other Expenses,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"-16,500.00",$0.00,83.25,$0.00,"-$16,416.75"
Net Other Income,0.01,0.01,0.01,0.01,0.01,0.01,$0.00,$0.00,"16,500.00",$0.00,-83.23,$0.00,"$16,416.83"
Net Income,"-92,292.98","-144,257.14","63,933.76","-49,158.84","-80,753.11","-28,124.92","-61,383.99","-67,044.18","-56,229.30","-3,108.63","-34,011.64","-12,222.83","-$564,653.80"



"Accrual Basis Monday, August 24, 2026 09:17 PM GMTZ",,,,,,,,,,,,,
